nodeid,longitude,latitude,elevation,norm_longitude,norm_latitude
0,-121.269814,40.0,687,0.12172521714081334,1.0
1,-120.953934,40.0,1003,0.174383802200564,1.0
2,-120.57737,40.0,1682,0.23715867691387438,1.0
3,-120.034241,39.953167,1339,0.3277006695848834,0.9921943165664394
4,-120.024017,39.957504,1335,0.32940505534419257,0.9929171668867552
5,-120.003197,39.963436,1341,0.3328758408986565,0.9939058567876348
6,-119.999908,39.963299,1344,0.3334241316617984,0.9938830229177051
7,-120.949043,39.932281,1119,0.17519915340838746,0.9887132347610175
8,-120.94857,39.934582,1059,0.17527800458837112,0.9890967437734784
9,-120.950081,39.940945,1042,0.17502611424385753,0.9901572686958142
10,-120.949707,39.945534,1041,0.1750884616884948,0.9909221200031537
11,-120.938858,39.959572,1090,0.1768970376961991,0.9932618416532791
12,-120.934013,39.969318,1035,0.17770472050174127,0.9948862131593428
13,-120.935493,39.975224,1055,0.17745799799354678,0.9958705696250524
14,-120.941147,39.987419,1099,0.1765154513304842,0.9979031173899258
15,-120.876984,39.932041,1063,0.18721170558269792,0.9886732338209945
16,-120.890648,39.9328,1075,0.18493385669623233,0.9887997367938147
17,-120.90284,39.931091,1078,0.18290139668278282,0.9885148967667411
18,-120.903557,39.93092,1078,0.18278186962982504,0.988486396096975
19,-120.942673,39.93071,1172,0.17626106042000841,0.9884513952744552
20,-120.941406,39.930397,1188,0.17647227489155023,0.9883992273818434
21,-120.923813,39.926048,1276,0.17940510535551277,0.9876743770145268
22,-120.568733,39.980831,1689,0.23859850279446657,0.9968050915863192
23,-120.560806,39.976456,1692,0.23991996855288242,0.9960759077838327
24,-120.551537,39.968231,1707,0.2414651516126488,0.9947050422351597
25,-120.529877,39.96146,1690,0.2450759688609522,0.9935765157147863
26,-120.537483,39.952572,1843,0.24380801521411088,0.9920951475693018
27,-120.535881,39.949867,1836,0.24407507565879005,0.9916443036411352
28,-120.521393,39.94429,1829,0.24649028896873587,0.9907147817973726
29,-120.515091,39.935986,1772,0.2475408600813319,0.9893307492726079
30,-120.495071,39.925964,1843,0.25087828211785324,0.9876603766855189
31,-120.491692,39.916672,1764,0.2514415762767637,0.9861116736243299
32,-120.486153,39.90514,1765,0.2523649519341207,0.9841896284562692
33,-120.472473,39.890839,1817,0.25464546809094546,0.9818060724427023
34,-120.452507,39.875095,1764,0.2579738880900047,0.9791820107772535
35,-120.44072,39.862801,1687,0.2599388328224955,0.9771329626246212
36,-120.438301,39.861717,1659,0.2603420907598759,0.9769522917121883
37,-120.430252,39.860542,1667,0.2616838944547788,0.9767564537766642
38,-120.422592,39.847919,1584,0.2629608501390822,0.9746525710020848
39,-120.41938,39.835415,1560,0.2634963046636214,0.9725685220269339
40,-120.41758,39.82127,1486,0.2637963725789934,0.9702109666243821
41,-120.409378,39.823303,1491,0.26516368204670243,0.9705498079204866
42,-120.384323,39.820766,1487,0.2693404607242779,0.9701269646503358
43,-120.471123,39.807129,1476,0.2548705190274721,0.9678540779041647
44,-120.470482,39.807091,1478,0.2549773765462241,0.9678477444219938
45,-120.423737,39.819748,1491,0.2627699736040251,0.9699572939964084
46,-120.430931,39.821861,1504,0.26157070216892386,0.9703094689391865
47,-120.437149,39.821934,1491,0.2605341342257121,0.9703216358917766
48,-120.443558,39.819489,1488,0.2594657257425936,0.9699141263153013
49,-120.450493,39.81543,1489,0.2583096307464264,0.969237610417178
50,-120.460289,39.806725,1504,0.2566765944692142,0.9677867429884602
51,-120.368362,39.819496,1491,0.2720012296116345,0.9699152930093858
52,-120.362923,39.816883,1490,0.27290793482925035,0.9694797827748948
53,-120.336578,39.817059,1489,0.27729976217950597,0.9695091167975781
54,-120.312576,39.809391,1498,0.28130100112658696,0.9682310867638719
55,-120.187866,39.807026,1507,0.30209070652991116,0.9678369108340713
56,-120.173279,39.803688,1510,0.30452242357520337,0.9672805644265975
57,-121.886047,39.78994,55,0.01899646620018248,0.9649891772456655
58,-121.901077,39.799484,54,0.016490899106831037,0.9665798812938771
59,-121.913048,39.810726,55,0.014495280765212615,0.9684535919927456
60,-121.948463,39.850414,61,0.008591444530278042,0.9750684141077316
61,-121.977028,39.884388,60,0.003829533417729506,0.9807308805090255
